"sample_id","plate_no","generation","read_no","week_no","cocktail_no","human_crystal","class3_crystal","class3_clear","class3_other"
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890094200801181234",2,"C1164",0,0.46375,0.0825,0.45375
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891144200801181220",2,"C1510",0,0.41275,0.293,0.29425
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891030200801181221",2,"C1218",0,0.45425,0.113,0.43275
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890436200801181229",2,"C1369",0,0.39725,0.29075,0.312
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890716200801181225",2,"C1103",0,0.442,0.15675,0.40125
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891296200801181218",2,"C1140",0,0.43925,0.2835,0.27725
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890052200801181234",2,"C1345",0,0.408,0.275,0.317
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890492200801181228",2,"C1083",0,0.4555,0.14525,0.39925
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890580200801181227",2,"C0997",0,0.402,0.29375,0.30425
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890164200801181233",2,"C1445",0,0.3955,0.29125,0.31325
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890897200801181223",2,"C0153",0,0.40825,0.29925,0.2925
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891426200801181216",2,"C1245",0,0.45425,0.082,0.46375
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890562200801181228",2,"C1281",0,0.429,0.24025,0.33075
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890930200801181223",2,"C1301",0,0.41525,0.29075,0.294
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890316200801181231",2,"C1075",0,0.44725,0.15775,0.395
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891522200801181215",2,"C1341",0,0.45125,0.10925,0.4395
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890379200801181231",2,"C0695",0,0.41325,0.282,0.30475
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890187200801181233",2,"C0683",0,0.463,0.104,0.433
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891355200801181217",2,"C0279",0,0.4505,0.1095,0.44
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890494200801181228",2,"C0892",0,0.4465,0.11625,0.43725
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890401200801181230",2,"C0029",0,0.425,0.259,0.316
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890665200801181227",2,"C0431",0,0.459,0.08825,0.45275
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891450200801181216",2,"C0951",0,0.39225,0.286,0.32175
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891428200801181217",2,"C1437",0,0.387,0.299,0.314
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891132200801181220",2,"C1507",0,0.3925,0.29,0.3175
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890630200801181226",2,"C1190",0,0.47,0.08825,0.44175
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890983200801181222",2,"C0258",0,0.43475,0.158,0.40725
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890290200801181231",2,"C0877",0,0.42275,0.17625,0.401
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890107200801181234",2,"C0291",0,0.4385,0.09575,0.46575
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891388200801181217",2,"C1055",0,0.391,0.29925,0.30975
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891471200801181216",2,"C0380",0,0.447,0.08225,0.47075
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890241200801181231",2,"C0397",0,0.42025,0.25925,0.3205
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891100200801181220",2,"C1127",0,0.3985,0.29375,0.30775
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891488200801181215",2,"C1152",0,0.39625,0.29875,0.305
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891478200801181216",2,"C0958",0,0.3905,0.2395,0.37
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891526200801181215",2,"C1342",0,0.39675,0.27375,0.3295
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890848200801181224",2,"C1400",0,0.404,0.24125,0.35475
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890822200801181224",2,"C1202",0,0.4565,0.09775,0.44575
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891195200801181219",2,"C0275",0,0.4185,0.2805,0.301
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891261200801181218",2,"C0172",0,0.43475,0.287,0.27825
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891080200801181221",2,"C1122",0,0.44825,0.2775,0.27425
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890860200801181224",2,"C1403",0,0.40825,0.2825,0.30925
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890698200801181226",2,"C0907",0,0.43675,0.242,0.32125
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890913200801181222",2,"C0529",0,0.42675,0.157,0.41625
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890949200801181223",2,"C0538",0,0.451,0.095,0.454
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890903200801181223",2,"C0346",0,0.45025,0.0795,0.47025
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890953200801181223",2,"C0539",0,0.4475,0.09875,0.45375
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891338200801181218",2,"C1331",0,0.37525,0.17125,0.4535
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890123200801181233",2,"C0295",0,0.447,0.08925,0.46375
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890152200801181233",2,"C1442",0,0.40775,0.276,0.31625
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891335200801181218",2,"C0754",0,0.38625,0.3095,0.30425
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890473200801181229",2,"C0419",0,0.4355,0.236,0.3285
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890757200801181225",2,"C0526",0,0.451,0.09375,0.45525
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890481200801181229",2,"C0121",0,0.445,0.2795,0.2755
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890972200801181222",2,"C1023",0,0.44625,0.10625,0.4475
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890058200801181234",2,"C1155",0,0.453,0.07975,0.46725
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890515200801181228",2,"C0321",0,0.43775,0.232,0.33025
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890939200801181223",2,"C0727",0,0.42675,0.25825,0.315
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890932200801181223",2,"C1493",0,0.42775,0.28975,0.2825
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891328200801181218",2,"C1520",0,0.4515,0.27375,0.27475
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890303200801181231",2,"C0304",0,0.4585,0.09475,0.44675
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891060200801181221",2,"C1117",0,0.39925,0.2605,0.34025
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891346200801181217",2,"C0853",0,0.39725,0.2725,0.33025
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891331200801181218",2,"C0753",0,0.447,0.0965,0.4565
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891425200801181216",2,"C0477",0,0.42875,0.12675,0.4445
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891233200801181219",2,"C0465",0,0.4135,0.218,0.3685
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890103200801181234",2,"C0290",0,0.39875,0.291,0.31025
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890174200801181233",2,"C1256",0,0.40575,0.29925,0.295
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891205200801181219",2,"C0458",0,0.434,0.13175,0.43425
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890646200801181226",2,"C1194",0,0.4535,0.09875,0.44775
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095891112200801181220",2,"C1502",0,0.36975,0.2845,0.34575
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890890200801181223",2,"C0919",0,0.4335,0.101,0.4655
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890869200801181224",2,"C0146",0,0.40175,0.288,0.31025
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890080200801181234",2,"C1352",0,0.43825,0.1295,0.43225
"4f15c1fc945cdd89340005ae","X000009589",8,"X0000095890652200801181226",2,"C1387",0,0.467,0.0865,0.4465
